hour,is_raining,traffic_level,surge_multiplier,num_ride_requests
20,1,0,2.0,63
8,1,0,1.2,150
6,0,2,1.0,80
8,0,1,1.2,110
9,0,1,1.0,123
20,0,0,2.0,52
2,0,0,1.0,104
17,0,1,1.2,117
8,0,1,1.0,148
4,0,0,1.5,71
10,1,0,2.0,57
0,0,1,1.0,83
1,1,1,1.0,106
17,0,2,1.5,85
19,0,2,1.0,111
13,1,1,1.2,94
21,0,2,1.0,87
7,1,1,1.2,125
18,0,0,1.0,155
13,0,0,1.2,78
13,1,0,1.0,131
21,0,2,1.2,71
19,0,2,1.2,97
7,0,0,1.0,136
8,1,1,1.0,147
13,0,1,1.0,89
11,0,1,1.0,98
12,0,1,1.0,96
5,0,0,1.0,99
13,1,2,1.2,75
14,1,2,1.2,73
1,1,0,1.2,97
17,0,0,1.0,159
9,0,1,1.2,112
20,0,1,1.0,89
6,0,0,1.0,99
21,0,1,2.0,42
4,0,2,1.2,70
7,0,0,1.0,157
19,0,0,1.0,143
12,1,2,1.5,59
6,0,1,1.0,95
17,0,1,1.0,147
8,0,0,1.5,92
11,0,2,1.2,62
23,1,1,1.2,91
16,0,0,1.2,83
9,0,1,1.2,104
6,0,2,2.0,40
20,0,2,1.5,48
4,0,1,1.0,89
22,0,2,1.2,61
14,0,1,1.2,73
15,1,0,1.5,87
15,0,0,2.0,48
9,0,1,1.0,130
13,0,1,1.0,88
19,0,0,1.0,151
16,0,0,1.2,75
5,0,1,2.0,47
0,1,0,1.2,95
10,0,1,1.2,80
0,0,0,1.5,61
11,0,1,2.0,44
23,1,2,2.0,52
19,0,2,1.2,93
14,1,0,2.0,60
4,1,1,1.2,86
9,0,0,1.2,128
16,1,0,1.0,109
9,0,1,1.0,143
6,0,1,1.2,77
17,0,0,1.2,134
5,1,1,1.0,113
8,0,1,1.5,83
1,0,1,1.5,64
21,1,1,1.5,70
11,1,2,1.2,79
4,0,1,1.0,82
14,0,1,1.5,56
12,1,0,1.2,95
1,1,1,1.0,114
14,0,1,1.2,74
13,0,1,1.5,58
8,0,1,1.2,122
15,0,1,1.0,85
1,0,1,1.0,89
0,0,1,1.0,85
8,0,0,1.2,118
23,0,2,1.0,86
19,0,1,1.0,136
13,0,0,1.0,90
1,0,1,1.0,83
0,0,1,1.0,96
9,0,1,1.5,82
22,0,2,1.2,71
21,0,1,1.5,56
18,0,2,1.0,131
17,0,1,1.0,138
23,1,2,1.2,87
19,0,0,1.0,150
21,0,0,2.0,52
19,0,1,2.0,64
10,1,1,1.2,83
8,0,0,1.0,138
14,0,0,1.0,96
15,0,0,1.5,65
12,0,1,1.0,86
20,1,2,1.0,104
5,0,1,1.0,83
14,0,1,1.0,84
14,0,1,1.2,70
21,0,1,1.2,78
17,0,1,1.5,93
10,0,0,1.0,93
0,0,2,1.0,72
13,0,1,1.0,81
1,0,1,1.0,85
1,0,1,2.0,47
19,1,1,1.2,145
9,0,0,1.0,162
15,1,1,1.0,106
2,0,0,1.2,88
13,0,0,1.2,86
22,0,1,1.2,68
6,0,1,2.0,48
18,0,1,1.2,113
18,0,2,1.0,119
22,0,2,1.0,81
18,0,1,2.0,63
2,0,1,2.0,41
12,0,1,1.2,74
18,0,0,1.2,126
13,0,2,1.0,72
7,0,2,1.5,73
22,1,2,1.0,104
7,1,1,1.0,157
16,0,1,1.0,82
20,0,1,1.5,55
4,0,1,1.0,88
4,0,2,2.0,42
20,0,0,1.0,96
1,1,2,2.0,50
21,0,2,1.0,76
22,0,0,1.2,82
